Date,Year,Month,Day,Daily_Rainfall_Total_mm,Highest_30_Min_Rainfall_mm,Highest_60_Min_Rainfall_mm,Highest_120_Min_Rainfall_mm,Mean_Temperature_C,Maximum_Temperature_C,Minimum_Temperature_C,Mean_Wind_Speed_kmh,Max_Wind_Speed_kmh
1999_08_08,1999,8,8,0.003846154,0,0,0,27.66666667,31.88,24.76,7.18,23.4
1999_08_09,1999,8,9,0.415384615,0,0,0,28.03333333,32.78,24.48,7.66,28.8
1999_08_10,1999,8,10,18.88846154,0,0,0,27.76666667,32.3,22.88,8.42,37.8
1999_08_11,1999,8,11,0.030769231,0,0,0,27.46666667,32.38,23.26,8.04,25.2
1999_08_12,1999,8,12,25.00384615,0,0,0,24.975,27.8,21.58,5.04,55.8
1999_08_13,1999,8,13,0.765384615,0,0,0,27.025,31.7,22.82,8.26,34.2
1999_08_14,1999,8,14,23.26538462,0,0,0,26.45,31.84,23.44,9.5,41.4
1999_08_15,1999,8,15,0.007692308,0,0,0,26.33333333,30,23.58,7.92,29.5
1999_08_16,1999,8,16,0.103846154,0,0,0,27.075,31.48,24.14,7.34,29.5
1999_08_17,1999,8,17,6.211538462,0,0,0,27.06666667,32.14,23.72,6.74,34.2
1999_08_18,1999,8,18,16.01538462,0,0,0,27.7,32.88,23.98,7.96,26.6
1999_08_19,1999,8,19,7.780769231,0,0,0,27.13333333,31.22,23.5,7.32,36
1999_08_20,1999,8,20,3.380769231,0,0,0,26.23333333,28.88,23.7,9.54,32.4
1999_08_21,1999,8,21,25.62307692,0,0,0,27.06666667,30.48,23.82,8.92,27.7
1999_08_22,1999,8,22,1.438461538,0,0,0,26.775,29.66,23.58,8.28,30.6
1999_08_23,1999,8,23,8.642307692,0,0,0,26.45,31.1,24.36,7.3,32.4
1999_08_24,1999,8,24,3.015384615,0,0,0,26.3,31.08,24.3,8.1,37.1
1999_08_25,1999,8,25,37.01923077,0,0,0,24.95,28.78,23.22,5.52,38.2
1999_08_26,1999,8,26,5.353846154,0,0,0,26.83333333,32,23.16,6.34,22.3
1999_08_27,1999,8,27,0,0,0,0,27.85,32.72,23.78,7.78,28.8
1999_08_28,1999,8,28,0.042307692,0,0,0,27.7,32.04,24.02,7.78,29.2
1999_08_29,1999,8,29,41.07307692,0,0,0,24.925,28.24,22.64,8.08,36
1999_08_30,1999,8,30,2.726923077,0,0,0,25.825,31.06,23.18,6.2,22.7
1999_08_31,1999,8,31,0.711538462,0,0,0,26.925,32.28,23.92,8.74,49.3
1999_09_01,1999,9,1,0.007692308,0,0,0,27.9,32.42,23.48,9.18,25.2
1999_09_02,1999,9,2,4.853846154,0,0,0,27.825,32.42,24.06,7,27
1999_09_03,1999,9,3,55.77307692,0,0,0,26.5,29.76,22.18,6.82,36
1999_09_04,1999,9,4,13.87692308,0,0,0,26.4,29.56,22.52,7.6,42.8
1999_09_05,1999,9,5,3.553846154,0,0,0,26.275,30.62,21.92,7.98,56.5
1999_09_06,1999,9,6,0,0,0,0,27.625,32.02,24.4,8.34,26.6
1999_09_07,1999,9,7,1.792307692,0,0,0,28.125,32.04,25.02,10.16,32.8
1999_09_08,1999,9,8,0.134615385,0,0,0,28.5,32.72,25.44,9.78,34.9
1999_09_09,1999,9,9,8.680769231,0,0,0,26.86666667,31.78,24.18,5.16,39.6
1999_09_10,1999,9,10,1.780769231,0,0,0,26.63333333,31.34,23.9,7.84,50.4
1999_09_11,1999,9,11,0.003846154,0,0,0,27.9,32.36,23.96,8.32,28.4
1999_09_12,1999,9,12,0,0,0,0,28.075,33.42,23.58,6.64,22
1999_09_13,1999,9,13,0,0,0,0,28.275,32.32,24.68,8.62,28.1
1999_09_14,1999,9,14,3.292307692,0,0,0,28.075,32.66,25.2,8.6,27
1999_09_15,1999,9,15,2.953846154,0,0,0,26.825,31.44,24.06,9.88,31
1999_09_16,1999,9,16,0,0,0,0,27.775,31.92,24.2,8.52,33.8
1999_09_17,1999,9,17,0,0,0,0,29.075,33.7,25.16,9.14,27.4
1999_09_18,1999,9,18,0,0,0,0,28.3,34.06,24.54,7.54,27
1999_09_19,1999,9,19,1.015384615,0,0,0,26.725,31.88,23.98,7.4,46.8
1999_09_20,1999,9,20,0.269230769,0,0,0,27.625,32.68,24.04,7.38,27
1999_09_21,1999,9,21,0.05,0,0,0,27.95,32.94,23.9,6.8,25.9
1999_09_22,1999,9,22,0.003846154,0,0,0,28.325,33.4,24.4,7.56,28.8
1999_09_23,1999,9,23,1.842307692,0,0,0,27.575,33.64,24.6,9.8,41.4
1999_09_24,1999,9,24,0.853846154,0,0,0,28.125,33.24,24.66,8.3,25.2
1999_09_25,1999,9,25,9,0,0,0,27.2,33,24.3,7.96,31.3
1999_09_26,1999,9,26,10.23461538,0,0,0,26.325,31.94,22.84,5.76,28.8
1999_09_27,1999,9,27,12.78846154,0,0,0,26.15,30.14,23.7,5.52,23.4
1999_09_28,1999,9,28,1.946153846,0,0,0,26.775,31.62,24.24,6.16,21.6
1999_09_29,1999,9,29,35.67307692,0,0,0,25.425,29.3,23.12,6.16,30.6
1999_09_30,1999,9,30,4.953846154,0,0,0,25.95,30.78,23.72,5.32,36
1999_10_01,1999,10,1,0.407692308,0,0,0,26.275,30.28,23.78,5.9,23.4
1999_10_02,1999,10,2,8.95,0,0,0,26.225,31.88,23.94,6.2,34.9
1999_10_03,1999,10,3,6.926923077,0,0,0,26.775,31.72,23.6,6.28,36.7
1999_10_04,1999,10,4,1.769230769,0,0,0,26.125,30.76,23.76,6.86,32.8
1999_10_05,1999,10,5,0.134615385,0,0,0,27.525,32.84,23.86,6.64,25.2
1999_10_06,1999,10,6,9.2,0,0,0,26.95,32.9,24.24,5.56,29.5
1999_10_07,1999,10,7,1.119230769,0,0,0,27.3,32.34,24.18,4.76,36.7
1999_10_08,1999,10,8,6.15,0,0,0,27.025,31.94,23.76,6,24.1
1999_10_09,1999,10,9,2.003846154,0,0,0,26.1,28.72,24.22,6.08,25.6
1999_10_10,1999,10,10,6.303846154,0,0,0,26.325,30.14,24.04,6.38,20.2
1999_10_11,1999,10,11,16.05384615,0,0,0,26.225,32.36,23.36,5.32,20.9
1999_10_12,1999,10,12,25.65769231,0,0,0,25.375,30.12,23.1,4.9,42.1
1999_10_13,1999,10,13,4.076923077,0,0,0,25.6,29.66,23.04,7.64,25.2
1999_10_14,1999,10,14,0.038461538,0,0,0,27.55,32.38,23.86,7.88,25.2
1999_10_15,1999,10,15,3.711538462,0,0,0,26.125,30.12,24.36,7.68,30.6
1999_10_16,1999,10,16,0.584615385,0,0,0,27.425,32,24.04,5.4,23.4
1999_10_17,1999,10,17,4.330769231,0,0,0,26.9,32.48,23.4,6.12,23.4
